concept	182 0
naval	0.02 136.98
rigorously	34 0
speeded	9 0
adopting	28.98 0.02
topography	0 22
avionics	6 0
arpa	16.44 8.56
uphill	5 0
select	263 0
me	26.76 25.24
morgan	551.82 1.18
binary-valued	13 0
mented	30.96 0.04
ma-	82 0
designer	20 0
appreciate	0 7
decreasing	107.54 92.46
swamped	0.02 3.98
constituents	14 0
trade	35.32 0.68
derthick	4 0
peterson	0.02 28.98
tendency	0.04 69.96
tending	12 0
corners	0 28
loosely	25.98 27.02
combining	254.98 0.02
tebelskis	8 0
suffices	51 0
encountering	0 7
shortest	52 0
explanations	0 31
onr	33 46
city	23 0
wright-patterson	7.98 0.02
behaved	13 0
explanation	19.62 111.38
conven-	16 0
deciding	42 0
search-	2.76 1.24
responsible	1.06 111.94
subscripts	25 0
probed	5.68 1.32
scripts	5.72 0.28
wijsj	4 0
probes	0 7
bradford	1.32 20.68
tional	108.06 58.94
heuristics	66.98 0.02
chances	0.02 12.98
sub-	85.9 11.1
september	58.96 0.04
deepest	7 0
geman	30 0
steepness	0 17
nicely	20 0
transac-	10.86 0.14
decides	0.16 30.84
imposing	37.82 0.18
august	53 0
joe	0.58 14.42
probing	0 16
cities	6 0
david	258.46 0.54
refinement	0.04 38.96
april	72 0
tour	16 0
satisfaction	26 0
defense	0 40
writing	85.94 0.06
monotonic	67.4 0.6
waste	0.6 10.4
ik	16 0
harder	58.98 0.02
regularity	46.26 0.74
turner	0.02 2.98
gibbs	85 0
infinity	36.98 0.02
phd	173.4 0.6
thought	56.18 142.82
agency	0.2 36.8
wasteful	7.96 0.04
paul	0 96
monitored	13.46 18.54
wright	15 0
interior	38 0
informative	0 56
indication	44.62 26.38
peter	121.64 10.36
comers	0 13
affects	0 85
jumps	2.84 22.16
carnegie-mellon	35 0
merrick	1.22 1.78
binomial	32 0
oh	41.62 0.38
sponsored	0 45
equally	103.76 100.24
numerically	91 0
relearning	19 0
theoretically	81 0
art	54 0
sigrnoidal	2.52 4.48
discriminability	0 8
differences	101.28 195.72
steepest	63 0
ak	0 23
erik	6.7 0.3
eventual	0 17
aeronautical	5.94 0.06
graduate	78.96 0.04
poor	184 0
repeat	82.98 0.02
vertex	32.98 0.02
restoration	40 0
eds	0 8
prototypes	31 0
optics	0 21
illustrations	6 0
led	63.3 78.7
lee	94.96 0.04
prescriptions	4 0
non-linearly	16.92 0.08
successors	0 9
vik	3 0
landscape	0 28
ecole	4.06 5.94
concatenation	19 0
basically	81 0
der	45.68 99.32
paragraph	10 0
pieces	50.12 0.88
enlarge	12 0
advocated	20 0
squaring	8.98 0.02
initializing	31 0
eckmiller	5.94 0.06
separable	81 0
rank	67 0
reached	91.26 83.74
publication	9.86 19.14
seminal	12.78 0.22
physique	1.26 3.74
k-	34 0
stands	72 0
two-neuron	0.08 3.92
lying	56 0
widrow-hoff	10 0
candidates	57 0
de	221 0
bifurcation	0.02 35.98
malsburg	0 23
pads	0.04 3.96
three-neuron	0.8 1.2
second-order	87.92 1.08
je	7 0
peretto	2.8 0.2
occured	0.46 10.54
charts	0.02 5.98
subspace	105.98 0.02
von	0 62
contiguity	0.02 5.98
evolve	0.04 61.96
laboratoire	9 0
high-order	34 0
identity	198 0
normale	5.4 1.6
nadal	5 0
preprint	31 0
autoassociative	20.94 0.06
spanned	58 0
proportionally	0 23
pnas	0 8
rue	0 13
alleviated	7 0
maxwell	7 0
retrieving	18 0
hf	1.52 0.48
pin	0 27
ne	0.12 12.88
preventing	0 41
vmax	5 0
disk	0.04 16.96
wave	0 78
prepyriform	0.1 3.9
guiding	0 21
waking	0 5
succesfully	0 4
tips	0.04 8.96
implanted	0 4
apical	0 11
limb	0.02 12.98
panems	0.7 4.3
generators	4.92 29.08
rabbit	0 17
room	0.74 75.26
ride	5 0
mv	0.02 34.98
qmax	0.22 0.78
three-layered	0 10
inform	0.04 6.96
nonparametric	53 0
z-score	0 4
baylor	0 5
mitral	0 4
bursting	0 26
multi-unit	0.04 11.96
grajski	0.02 2.98
medicine	0 22
granule	0 15
t-test	13.3 0.7
feel	0 31
rats	0 17
grossberg	0.18 32.82
anesthetized	0.02 8.98
pmax	0.56 2.44
behind	75.9 46.1
corresponded	0.02 29.98
steel	0 6
steep	0 20
monosynaptic	0 12
odors	0.04 8.96
laterally	0 18
alpha	0 34
nonlinearity	41.44 60.56
physica	0 35
fitted	0 66
session	0 31
gray	0.02 98.98
median	59.96 0.04
qm	4.78 0.22
college	108 0
connectivities	0 7
topology	110.44 0.56
confident	30 0
eeckman	0 9
entered	0 27
awake	0 19
attractors	0 56
variances	103 0
non	56 0
regression	236.82 0.18
verified	67 0
filtered	0 106
dimensionless	0.02 5.98
week	0.16 16.84
student	42.96 0.04
shortly	0.22 20.78
materials	0 20
superficial	0 14
ample	20.18 3.82
sharpened	0 8
displaced	0 26
sine-wave	0 5
time-series	34.9 0.1
sigmoids	26.94 0.06
reasonably	118.7 0.3
home	0 16
rall	2.86 1.14
ob	9 0
mutually	67.4 4.6
off-line	49.98 0.02
lags	0 15
notices	0 7
files	0.02 20.98
mammals	0 9
ideally	29.52 18.48
sided	7 0
multi-	74.1 33.9
inspiration	22 0
mass	58.24 34.76
remarked	3.94 0.06
labelled	82 0
funda-	5.98 0.02
requested	11.86 2.14
disturbances	7.52 11.48
consist-	7.98 0.02
wishes	28.96 0.04
jack	22.98 0.02
minicolumns	0 2
quick	0 32
ation	0.78 35.22
creatures	0 5
sequential	133.66 62.34
environ-	0.02 24.98
leg	0.66 12.34
answers	0 38
cylindrical	0.04 10.96
inspired	0.06 107.94
ment	0 152
postponed	3.52 0.48
stimulus-	6.78 1.22
standing	0.2 23.8
situ-	0.06 6.94
hierarchically	0 18
assessment	28 0
stra-	0 6
iii	0 71
suggestive	0.04 12.96
accept	52 0
imitation	0.02 4.98
situ	0.02 4.98
asme	9 0
verlag	5.44 2.56
memorization	8 0
plant	35.16 2.84
variant	120.98 0.02
damaged	0.04 8.96
state-	0 21
tries	94 0
jumping	0 10
evaluations	0 51
outline	82 0
directs	8.92 0.08
stretching	0 13
till	8.26 2.74
coordinated	0 18
pure	0 105
articulation	0 22
motivates	30 0
anticipates	0 5
assemblies	0 16
reactions	0 9
interlayer	0 5
pitts	13 0
living	13.98 0.02
organi-	0 5
albus	0.08 12.92
localization	0 48
institut	23.08 25.92
wanted	19.9 0.1
ate	0 42
informations	0 6
immanent	0.84 5.16
ring	0 41
guess	57.7 0.3
addi-	45 0
unknown	310.86 0.14
scription	6 0
dictive	5.96 0.04
legs	0.2 6.8
environmental	0 55
substructures	11 0
zation	0 18
historical	19.98 0.02
thetic	0.02 3.98
topics	17 0
sur-	0 25
unlikely	39.48 42.52
border	14.58 16.42
subgoals	4 0
subjects	0 101
zu	2.54 2.46
multilevel	0.22 9.78
walking	0 11
planning	61.68 5.32
mean-	4.14 15.86
heavily	8.42 49.58
penalty	115 0
adequate	70.9 35.1
crosstalk	0.06 9.94
cerebellar	0 33
coordinating	0 10
shaping	14.96 0.04
control-	0.02 5.98
assembly	0 38
predictive	130.68 1.32
module	1.84 104.16
syn-	0 36
jobs	6.98 0.02
theoretic	68.74 0.26
memory-based	35.98 0.02
tolle	0.34 0.66
un-	125.48 0.52
job	41 0
stants	0.04 7.96
lernas	0.32 0.68
tegy	0 3
multivariable	23 0
packages	10 0
suppressed	0.02 37.98
commands	0 49
discusses	68 0
puter	14.66 22.34
fulfilled	13.98 0.02
mized	9 0
coordi-	0.02 14.98
fun-	2.74 5.26
frg	8 0
implicit	114.96 0.04
ph	0.06 4.94
columnar	0 17
mary	0.02 23.98
empty	51 0
wants	39 0
controller	59.42 56.58
repetition	0.02 21.98
handling	58 0
aim	92.8 35.2
self-organizing	0 115
averaging	218 0
destabilization	0 2
subtasks	1.36 12.64
lengthy	21 0
hierarchies	27.62 1.38
possi-	27 0
hier-	4.88 0.12
necessity	0 26
mentally	0.22 6.78
supports	0 74
mini-	47 0
damental	0.12 6.88
comprise	0 33
restore	2.28 13.72
sec	0 35
answering	9 0
ques-	10.48 0.52
actions	149.88 14.12
pseudo-	1.76 8.24
behavioural	0 11
low-level	0 50
cornell	4.8 6.2
checking	21.98 0.02
ams	4.92 0.08
excluding	33 0
identifying	66.84 40.16
para-	1.22 8.78
controllers	44.94 0.06
indications	9.98 0.02
trainable	0 45
unnecessary	35 0
neurophysiologically	0 6
manipulator	0 28
agreement	0.02 160.98
stem	2.94 27.06
cmac	0.36 14.64
analy-	0 14
explorative	4 0
horizon	24 0
preconditions	7 0
behav-	0 21
software	0 124
outlook	7.54 2.46
speculated	2.38 2.62
reflexes	0 6
span	98.58 0.42
abstractions	4.02 3.98
kinematics	0 31
on-line	189 0
vantages	4.98 0.02
goals	45.74 0.26
atom	7.96 0.04
subdivision	4 0
groupings	0 11
mindful	0 5
coordinator	0 3
perceiving	0 10
superfluous	10.98 0.02
symposium	109 0
chance	0 91
nucleus	0 51
ingful	0 6
vch	2.44 0.56
magnetic	0.02 23.98
dramatically	84 0
seemingly	32 0
heading	0 18
unexpected	0.08 26.92
three-dimensional	0 57
fence	0 3
built-in	0 19
casual	0 4
emotions	0 5
annals	76 0
exchange	31.98 0.02
leaving	46.14 43.86
traversing	19.36 0.64
languages	42 0
entails	0 24
carrying	9.64 39.36
circumstances	1.34 31.66
fly	0 30
confused	0.04 20.96
methodology	91 0
elliptical	0 13
triggering	0 12
insight	0.02 103.98
mission	0 17
tropisms	0.34 0.66
birds	0 8
unforeseen	0 5
masses	9.04 0.96
time-invariant	0 9
repulsive	0 6
desirability	6.96 0.04
positioned	25 0
year	0 33
watanabe	9.98 0.02
projected	50.4 62.6
divergence	78 0
reconfigure	0 3
innate	0 13
commented	0 5
contingency	0.08 6.92
render	26.9 0.1
utilized	0 75
sheet	0.06 25.94
utilization	4.38 17.62
kept	6.32 118.68
i-i	0.06 6.94
enabled	0 30
aims	38 0
addressing	0 38
sam	12 0
dynamically	0 76
acceleration	0.08 34.92
paths	67.68 25.32
forces	0 114
green	0 29
similiar	5 0
associating	0 31
laws	30.98 0.02
friction	0 11
visualized	0 24
paralleling	0.02 4.98
merges	14 0
hypothesized	0 46
pursuing	17.88 0.12
exhibiting	1.48 33.52
resource	0 53
tropistic	0.34 0.66
approaching	0 36
response-	0.02 3.98
mechanically	1.46 4.54
attempting	43.92 12.08
tags	1.44 5.56
portrayed	0.02 7.98
suppresses	0.02 26.98
aircraft	22 0
reaction	0.06 34.94
enabling	0 41
refraction	0 4
emulate	22 0
arbib	8 0
workshop	163 0
meeting	0.08 35.92
enable	51.58 53.42
flight	0.02 17.98
frontiers	0.06 13.94
begining	6 0
decision-making	16 0
differing	1.6 61.4
automation	28.82 0.18
allocation	50 0
invariance	6.88 106.12
tracking	0 89
scenario	0.06 40.94
fusion	17.08 7.92
rome	0.1 4.9
visualization	0.66 26.34
photons	0.02 4.98
danger	19 0
color	0.04 75.96
passively	0 11
game	42 0
abound	5 0
aerospace	0 11
neural-net	0 18
gradient-following	6 0
simplification	37.56 15.44
primal	14 0
refines	10.46 0.54
finely	0 14
conceptually	25.94 0.06
conservation	0 12
collapsed	0 13
multiprocessor	0 6
attainable	15.98 0.02
intuitive	101 0
gravitational	5 0
exerting	5 0
metal	12 0
twist	0 4
ensuing	0 10
assessing	32.86 0.14
nonetheless	0 30
book	0 32
superposition	0 52
lens	0 16
tendencies	0.34 4.66
gv	0.5 5.5
broader	0.02 34.98
polysynaptic	0 2
trough	0.02 5.98
compensated	0.06 28.94
coefficient	141 0
intercept	9 0
neocortical	0 35
correlogram	0 6
slices	0.18 19.82
mediate	0 35
epsp	0 16
correspondingly	0 17
neurosci	0.02 22.98
cited	1.24 21.76
fetz	0 4
interneuron	0.04 18.96
deducing	0 4
matches	0.54 144.46
arriving	0 46
cross-	59.98 0.02
convolutions	0 15
ase	8 0
origin	52.34 70.66
confirming	0 15
first-	0.02 19.98
thoroughly	6.88 12.12
motoneuron	0.02 9.98
effectiveness	87.36 0.64
optimized	150.6 8.4
dispersed	0 8
ending	28 0
interspike	0 20
falling	5.02 39.98
closure	0 26
correlograms	0.02 4.98
wa	31 0
linkage	0 11
pair-wise	0 8
grants	0 105
broadening	4.44 2.56
disynaptic	0 3
formed	0 238
convergent	56 0
unitary	0 18
mediating	0.02 19.98
confirmed	0.06 67.94
orders	65.84 39.16
secure	3.14 2.86
cross-correlograms	0 4
indirect	0.12 43.88
garrett	7 0
linkages	0.42 1.58
reverberating	0.04 7.96
cord	0 15
motoneurons	0.02 9.98
referenced	0 12
integral	149 0
rising	0.02 20.98
collaborative	0 6
resembles	0.02 64.98
algebra	33 0
compose	0.12 24.88
tt	52 0
michael	0 208
addressable	0.04 18.96
asymp-	16 0
brackets	37.9 0.1
observing	113 0
boundedness	6 0
vii	2.6 25.4
noting	71 0
israel	38.3 23.7
quantized	0.02 48.98
preserving	1.24 50.76
divides	29.96 0.04
multi-level	0.06 14.94
lhe	14 0
synchronization	0 45
signs	0 37
yj	0 42
ym	0 13
yo	0 14
yn	20 0
autoregressive	30 0
impose	77.96 0.04
xj	78 0
sively	0.06 10.94
xf	3 0
thres-	0 6
guaranteeing	2.66 9.34
richer	31.66 1.34
fleisher	7 0
wijxj	3.98 0.02
useless	15 0
object	0 283
haifa	9.06 0.94
partition	146.98 0.02
inn	1.08 5.92
exten-	11.88 0.12
itseft	0 8
cn	18 0
piecewise	74 0
featuring	6 0
multi	0.02 25.98
mle	16 0
examines	36.82 1.18
middle	0.5 160.5
moments	58.82 0.18
convex	109 0
introduces	121.98 0.02
jacques	0.06 4.94
conserving	0 9
denoting	76.94 0.06
totic	7 0
technion	6 0
coincides	38 0
executing	37.98 0.02
tx	0.04 32.96
lisp	0 13
nectivity	0 11
inspect	0.02 6.98
exploitation	0.02 14.98
inde-	51 0
started	104.9 0.1
three-	0.04 22.96
anywhere	0.02 32.98
my	0.02 49.98
joints	0 23
abort	2.24 4.76
weaken	0.14 11.86
tile	41.22 3.78
circular	0.02 75.98
workstation	0 39
texas	0 27
junction	0.88 28.12
grammar	0 52
chuck	9 0
stopped	60 0
opened	5.26 5.74
sensor	3.88 81.12
feed	0.08 80.92
encoding	0 193
researcher	6.82 0.18
esting	6.76 0.24
centered	73.2 113.8
stm	0.02 6.98
strengthen	0 8
ram	0.06 28.94
majority	69.18 43.82
preset	0 20
plan	0 57
terminate	0 28
gauge	0 15
indicator	78 0
compiler	7 0
humans	0 105
arm	0 81
interface	0 49
motors	0.02 17.98
enhancements	10 0
engine	0.02 21.98
finished	11.92 0.08
graphics	0 37
cons	0.18 5.82
time-independent	8 0
experimented	0 44
flows	0 42
command	0 61
usage	45 0
mon	0 15
sends	0 39
stops	38 0
seconds	0 91
pressure	17.58 17.42
accommodated	9.98 0.02
asynchrony	0 5
time-dependent	0 41
instruments	2.64 13.36
binding	0.04 43.96
removing	70.94 31.06
experi-	0.2 69.8
graphical	98 0
intent	0.08 15.92
equipment	0.04 13.96
answered	12 0
song	0 15
internally	0 19
time-delayed	0 11
meant	47 0
recog-	8.96 84.04
topic	56 0
pacemakers	0 6
concentrating	17.76 3.24
eighth	35 0
shortcomings	16.98 1.02
remember	28 0
fall	46.9 84.1
sisting	5.16 2.84
quasi-stable	0.04 2.96
speculate	0 16
january	47 0
indi-	20.4 23.6
richly	0 11
begun	0 27
ons	0 7
time-	0.2 68.8
geared	7 0
nition	0.04 43.96
fuzzy	0 36
unfortunately	52 0
compress	0.02 25.98
patterned	0 18
ensembles	18.46 16.54
boulder	0 14
competing	0.06 76.94
above-mentioned	8 0
sompolinsky	0 31
attributes	71 0
relevant	199.36 148.64
phase-locked	0 16
raise	25 0
linguistic	0 42
systematic	0.02 108.98
self-sustained	0.22 1.78
mistake	25 0
shaw	0.12 4.88
extends	105 0
recognizes	0 40
cate	7.86 6.14
distortions	26 0
paolo	0 4
inhomogeneous	15 0
recirculation	0 4
inves-	0.1 9.9
tri-	7 0
stay	50 0
ago	0 19
griffin	8 0
one-dimensional	85.48 32.52
fully-connected	28 0
reminiscent	36 0
explosion	0.06 17.94
substitutions	10 0
descriptors	0.02 6.98
md	0 60
allowable	31.04 0.96
corrections	33.98 0.02
auditory	0 117
taught	0.04 22.96
doppler	0 3
responding	0.22 67.78
remainder	27.24 61.76
encouraging	58 0
imply	117 0
thorough	17 0
indexes	22.98 0.02
trivial	113 0
madaline	3.7 1.3
october	48 0
appeal	23 0
multiplies	13.04 5.96
giles	2.4 36.6
retraining	36 0
comes	159.3 19.7
i-	51.76 9.24
expensive	119.94 0.06
transformations	81.28 37.72
irrelevant	84 0
exemplified	1.08 17.92
multi-layer	157 0
severity	0.08 8.92
safe	22.92 1.08
invariances	30 0
insensitive	6.14 59.86
athe	14 0
facets	0 6
translation-invariant	8.36 1.64
encode	0 163
satisfactorily	2.04 7.96
grasp	0 10
fdx	5 0
eq	12.96 0.04
cybernetics	0.1 34.9
correlates	0 41
polar	0 29
bolling	0 9
persistent	0 23
mild	25.9 0.1
grateful	35.82 38.18
multivariate	139 0
cal	0 118
golden	7 0
inference	170 0
pfs	0.62 0.38
criti-	5.92 0.08
sv	0 21
nection	0 14
harmony	6.56 5.44
framework	406.76 0.24
subnetwork	19 0
revised	14.9 0.1
ous	14.78 26.22
independence	131 0
belief	88 0
distri-	80 0
rewritten	65 0
scalar-valued	2.58 0.42
dynam-	0.02 29.98
memo	55 0
manuscript	22 0
null	0.08 51.92
importantly	0 13
postdoctoral	0 21
expectation	203.84 0.16
notational	30.86 0.14
probable	103.98 0.02
butions	12 0
pf	0 19
walter	0.02 15.98
member	85.94 0.06
assigns	92 0
applica-	43 0
probabil-	46 0
continu-	0 27
additivity	4 0
kullback	12 0
dean	0 24
kullback-leibler	47 0
substitution	24 0
statisti-	15 0
analyses	38.06 44.94
smolensky	0 15
subjective	10.2 13.8
fellow	24 0
andrew	72 0
deriving	79 0
psychology	0.02 100.98
yellow	0 8
worth	67.98 0.02
bringing	0.12 20.88
skills	9.96 0.04
conductances	0.02 43.98
chemically	0 7
contributed	0.06 21.94
ated	4.64 35.36
notions	0.06 33.94
through-	0.02 3.98
reactivated	0.06 3.94
well-trained	4 0
fractions	11.98 0.02
elicited	0.02 19.98
nontrivial	39 0
ously	0 31
cell-specific	0.26 0.74
lost	0 72
silver	1.9 3.1
probabihty	0.02 7.98
proba-	72.96 0.04
arrived	20.58 0.42
vitro	0 14
insightful	18 0
enhancing	2.92 21.08
injected	0.06 36.94
requisite	0 13
biochemical	0 17
anatomically	0.06 20.94
predominantly	4.34 13.66
blue	0 22
ipsp	0.02 2.98
participate	0.02 25.98
subtle	38 0
rich	0 87
borrowed	0.22 9.78
heaviside	19 0
patch	0 60
inactive	30 0
incorporating	95.6 32.4
rhythms	0 13
participating	0 9
confronted	6.76 0.24
asked	1.56 66.44
game-theoretic	3.68 1.32
acuity	0 13
afterhyperpolarization	0.02 3.98
ib	0 9
linked	4.66 61.34
high-frequency	0 21
sivilotti	0 6
contact	0 49
greatest	0 43
homogeneity	3.64 2.36
dense	36.8 23.2
losing	22 0
super	0 7
very-similar	0.32 0.68
ahp	0.8 3.2
categorization	0 32
fork	0.02 5.98
incorporation	0 48
breadth	0 5
abilistic	8.84 0.16
previ-	0 32
pected	0.08 18.92
unfamiliar	0 14
lynch	0 6
measurable	29.98 0.02
ipsps	0 4
spheres	0 11
rarely	49.84 13.16
undergone	0 6
sharing	0 73
dendrite	3.62 18.38
car	0 33
encod-	1.36 5.64
incremental	116.96 0.04
normalize	48.66 3.34
membership	36 0
yielding	134 0
michel	0.02 6.98
listing	0.82 4.18
conveying	0.24 8.76
views	0 81
cars	13 0
initiate	0 19
benefited	15 0
hu-	0.1 15.9
categorical	29 0
plastic	0 16
exploring	0.02 111.98
time-locked	0 6
sponse	0 27
price	57.92 0.08
gener-	71 0
fifth	64 0
actively	0.12 39.88
comp	0 13
acquiring	0.02 12.98
sparseness	33 0
information-theoretic	42.96 0.04
howard	0 62
similarity-based	0.02 6.98
ei-	0 14
former	110.96 0.04
engaged	11 0
coffee	1.76 0.24
erroneously	9 0
totally	0.66 46.34
pa-	105 0
ther	0 26
topo-	0 11
caudal	0 14
quantal	0 8
intact	0 24
alternates	21.86 0.14
notably	23.16 0.84
sniffs	0 2
metaphors	0 5
gary	10.44 8.56
loo	0.24 84.76
labelling	18 0
discriminations	0.02 9.98
posterior	241.98 0.02
biochemistry	0.64 5.36
terminating	0.34 16.66
gaining	0 14
splitting	59 0
month	0.2 11.8
fellowship	0.2 54.8
subjected	0 18
hy-	30 0
potentiation	0 20
accompanying	0 24
unsuspected	0 4
tem	0 49
enhancement	0 67
cues	0.08 68.92
fractional	4.52 17.48
hours	0 65
commonalities	0 6
dentate	0 10
weakening	5.08 3.92
initiated	0 29
synchronized	0 37
stated	105 0
acta	0 11
technol-	0.02 7.98
scribed	26.6 7.4
ys	0 5
right-hand	47 0
bility	60 0
dominates	9.22 25.78
innervation	0 8
induces	0 63
bidirectional	17 0
reversing	0.74 16.26
cups	0 2
critically	0.04 20.96
creased	0 11
potentiated	0 3
nasal	0.26 8.74
experiences	0.08 37.92
broadened	5 0
subpopulations	0.1 5.9
adaline	8.94 0.06
high-pass	0 10
alepolarization	0 4
alters	0.02 16.98
tapered	0.02 4.98
long-term	2.18 86.82
perspectives	0 23
recalled	0 22
mln	0 4
particu-	6.28 22.72
underlies	0 12
chemistry	2.32 3.68
two-step	20 0
things	0 50
cup	0 4
exclusively	9.52 38.48
cue	0 45
contacts	0 18
tered	0 16
restrictive	34 0
lasts	0 10
intense	0 16
associational	0 6
anterior	0.02 16.98
partitioning	67.8 0.2
uc	32 0
long-lasting	0 6
graphically	32.9 0.1
na-	16 0
send	0 47
electrophysiological	0.08 41.92
electron	0 13
dealt	36 0
za	0.5 9.5
overwhelmed	2.32 1.68
flowing	0.02 16.98
block-	5 0
hyperpolarized	0 12
clusters	73.5 70.5
worlds	8 0
accompanied	0.02 24.98
respects	0 21
res	0 21
cess	9.46 18.54
categorizations	3.14 0.86
induction	94.12 0.88
ltp	0 7
tivity	0 32
alepolarizing	0 6
extrinsic	0 10
innervate	0 13
pre-specified	0.06 18.94
ulations	0.94 11.06
comprising	0 45
operated	0 33
sniff	0 2
drug	0.04 10.96
senses	0 22
coherence	0 37
s-shaped	0.02 3.98
directionality	0 8
neurol	0 3
arrangements	0.24 13.76
partitionings	0.82 3.18
infer	77.48 0.52
variants	64 0
demonstrates	0 169
post-synaptic	0 57
interburst	0 5
panel	0 54
chronic	0 5
receptor	0 45
pairing	1.04 16.96
accentuate	0.08 4.92
recruited	0 10
rhythmic	0 27
hn	6 0
commissural	0 9
hm	12 0
perforant	0 4
encodings	0 14
calibration	0 20
shunt	0 4
tain	20.44 8.56
codohs	1.9 0.1
overlap-	2.66 1.34
belongs	90.98 0.02
tionality	0.02 3.98
oregon	45 0
sent	0 77
redundancy	0.1 64.9
improving	161 0
redundant	77.64 0.36
vec-	51.82 0.18
recep-	0 21
ticular	20 0
tors	0 40
split	138.84 0.16
dan	0 17
jected	4.9 0.1
compression	30.42 52.58
nearest-neighbor	42 0
correctness	26 0
par-	49.74 26.26
codons	2 0
categorize	0.74 21.26
participates	4.96 0.04
ton	0 16
compres-	7 0
diminishing	6 0
agreed	0 14
debate	0 18
trade-off	66 0
notation	168 0
subvectors	6 0
main-	3.6 12.4
wrote	2.42 5.58
emulating	7 0
improves	166.98 0.02
codon	2 0
community	51.98 0.02
union	46 0
extraction	0.9 135.1
marr	0 16
ization	57 0
optimistic	11 0
cost-	7 0
hammerstrom	1.52 0.48
disadvantages	0.36 26.64
ness	24.76 0.24
gallager	3 0
mathematically	34.44 31.56
ami	1.02 2.98
moody	91.98 0.02
underestimating	4 0
hin-	5 0
trends	0 59
cns	0.04 15.96
lim-	13.94 0.06
letter	0 70
assess	77 0
subvector	6.98 0.02
sections	108.72 5.28
medium	0 45
encoder	40 0
hc	0.06 5.94
transmits	0 14
robust-	2.16 1.84
sion	96 0
covers	0.3 56.7
brings	27 0
tightest	7 0
auto-associative	17 0
tribution	49 0
billion	20 0
ments	22.74 67.26
compact	170.98 0.02
fan	8.28 1.72
resurgence	0.24 3.76
piece-wise	0.32 8.68
outlier	20 0
personal	1.88 68.12
stephen	0.04 54.96
traced	0.7 18.3
neural-like	0 9
recovering	8.44 25.56
williams	122.98 0.02
normalizing	55.48 10.52
recovered	67.9 0.1
non-gaussian	58 0
ran	87 0
distorted	40.86 0.14
recommended	14 0
closer	0 179
psychologically	0 6
metrics	35.5 0.5
replications	0.04 11.96
cepstral	0 21
triangle	23.82 11.18
uncertainty	117.98 0.02
laplace	24.6 0.4
compactness	7.96 0.04
stopping	97.94 0.06
supremum	9 0
capture	115.5 103.5
mesh	0 20
euclidian	11.88 0.12
prop	26.88 0.12
ol	35 0
estimator	115 0
estimators	68.92 0.08
minkowski-r	2 0
papert	0.38 6.62
hanson	13.7 28.3
restored	0.02 13.98
dispense	7 0
canadian	28.98 0.02
pictorial	0 6
symmetrical	0.04 29.96
error-	0.26 10.74
criticism	13 0
visible	59.84 39.16
derivatives	229 0
gradient-descent	19 0
reconstructed	0 71
visible-to-hidden	0.4 0.6
yf	1.46 0.54
canada	58.96 0.04
galland	0.02 3.98
reversed	0.06 34.94
serve	0 139
unrealistic	22.94 0.06
toronto	54 0
non-linearity	47 0
prescribes	7 0
back-propagating	4.72 15.28
neurally	0.02 13.98
hidden-to-visible	0.34 0.66
reconstruct	0 57
modular	0.04 97.96
became	0.54 50.46
fig	0 49
wkj	0 5
hidden-	5 0
goodhill	0.1 8.9
adjustments	0.02 26.98
elman	34 0
conrad	4.98 0.02
verbal	0.02 10.98
images	0.04 344.96
biases	73.3 16.7
completing	0 17
colorado	49.72 0.28
trying	118 0
linearity	40.7 11.3
diego	0.02 68.98
calls	55.94 0.06
modules	0.02 91.98
abundant	0.08 5.92
responsiveness	0 6
northwestern	0.08 8.92
loads	0 19
body	0 92
abrupt	0.02 17.98
stiffness	0.04 10.96
locomotion	0 11
p-	15.92 3.08
mus-	0 6
under-	0 34
relay	0 11
instrumental	14.98 0.02
initiates	0 10
presumed	0 23
strained	17 0
elbow	13 0
specialized	0.02 92.98
houk	0 4
tal	0 40
purkinje	0 17
sic	0.24 7.76
influences	0 85
wrist	0 6
fits	110 0
domi-	1.72 6.28
serving	0 30
converting	0 33
oper-	0 14
highlights	0 26
physiologi-	0 4
designs	0.26 31.74
outlines	0 25
courses	0 13
abundance	5 0
self-	0 62
rubrospinal	0 2
red	0.02 35.98
bumps	0 13
stellate	0 4
routed	14 0
timed	0.04 4.96
occurrences	0 30
climbing	0 22
schema	0 12
servo	1.9 6.1
alterations	0 16
olivary	0 7
motivation	108.4 0.6
mossy	5.08 1.92
ant	0 13
regulate	0.02 14.98
minimally	15 0
treats	0.02 35.98
atypical	8.68 0.32
path-	0 12
high-level	0 43
postulates	0 6
inferior	0.18 61.82
slack	22 0
prime	0.36 27.64
communicates	0 9
proposing	0 14
acquires	2.36 15.64
irl	0 6
finger	0.04 20.96
blocked	0 22
arrival	0 55
cle	0 6
grounds	9 0
somatosensory	0 20
production	0.02 77.98
damping	18.58 1.42
reflex	0 20
diversity	0 25
originate	0 20
precede	1.42 8.58
vestibular	0 15
weakly	0 58
servos	0 2
reward	77.98 0.02
parametric	116 0
generator	0 61
onward	0 3
cere-	1.02 3.98
musculoskeletal	0 5
lower-level	0 17
shoulder	8.54 5.46
shaped	0 58
translates	9.4 35.6
spring	0 26
paragraphs	0.32 5.68
reticular	0 9
fan-out	0.86 13.14
out-	0 92
terminated	27 0
premotor	0 8
handbook	0.1 47.9
promote	0 11
desire	28.98 0.02
detectors	0 87
resultant	0.04 39.96
accounting	1.48 40.52
gielen	0.06 5.94
elemental	14 0
illinois	0.02 39.98
